image,instances,positive_pixels,predicted_pixels,inference_seconds,tp,fp,fn,tn,precision,recall,specificity,iou,dice,pixel_accuracy
Image_20260714154451603_p026_x1536_y0768.jpg,1,1609,1875,0.052277947999982644,1555,320,54,260215,0.8293333333333334,0.966438781852082,0.9987717581131134,0.8061171591498185,0.8926521239954076,0.9985733032226562
Image_20260714154451603_p032_x3584_y0768.jpg,0,0,0,0.07918362000009438,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154451603_p046_x0768_y1536.jpg,0,0,0,0.07644164200019077,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154451603_p048_x1536_y1536.jpg,0,0,0,0.053209819000130665,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154451603_p049_x1920_y1536.jpg,1,790,972,0.05505464399993798,689,283,101,261071,0.7088477366255144,0.8721518987341772,0.9989171774681084,0.6421248835041938,0.7820658342792282,0.99853515625
Image_20260714154451603_p055_x0000_y1920.jpg,0,0,0,0.05375018999984604,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154451603_p060_x1920_y1920.jpg,1,706,864,0.07275606600001083,623,241,83,261197,0.7210648148148148,0.8824362606232294,0.9990781753226387,0.6578669482576558,0.7936305732484077,0.9987640380859375
Image_20260714154451603_p061_x2304_y1920.jpg,0,0,0,0.06846400400013408,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154451603_p063_x3072_y1920.jpg,0,0,0,0.0643878619998759,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154451603_p070_x1536_y2304.jpg,0,0,0,0.09252868099997613,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154451603_p076_x3584_y2304.jpg,0,0,0,0.066371707999906,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154451603_p080_x1152_y2560.jpg,0,0,0,0.07839672299996892,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154451603_p085_x3072_y2560.jpg,0,0,0,0.05871937199981403,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p006_x2304_y0000.jpg,0,0,0,0.05474695500015514,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p009_x3456_y0000.jpg,0,0,0,0.07814928000016153,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p013_x0768_y0384.jpg,0,0,0,0.06519884299996193,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p017_x2304_y0384.jpg,0,0,0,0.06136831699996037,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p023_x0384_y0768.jpg,0,0,0,0.06720584799995777,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p025_x1152_y0768.jpg,1,1501,1954,0.07037542000011854,1452,502,49,260141,0.7430910951893551,0.9673550966022652,0.9980739939303952,0.7249126310534199,0.8405209840810419,0.9978981018066406
Image_20260714154459708_p026_x1536_y0768.jpg,1,1234,1577,0.06116014600002018,1195,382,39,260528,0.7577679137603044,0.9683954619124797,0.9985358936031582,0.739480198019802,0.8502312344361437,0.9983940124511719
Image_20260714154459708_p030_x3072_y0768.jpg,0,0,0,0.05977179499996055,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p034_x0384_y1152.jpg,0,0,0,0.05577211900003931,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p044_x0000_y1536.jpg,0,0,0,0.07062214500001573,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p047_x1152_y1536.jpg,0,0,0,0.05685614699996222,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p049_x1920_y1536.jpg,1,758,1025,0.05441464399996221,755,270,3,261116,0.7365853658536585,0.996042216358839,0.9989670449067662,0.7344357976653697,0.8468872686483455,0.9989585876464844
Image_20260714154459708_p050_x2304_y1536.jpg,1,758,1014,0.05347318799999812,756,258,2,261128,0.7455621301775148,0.9973614775725593,0.9990129540220211,0.7440944881889764,0.8532731376975169,0.9990081787109375
Image_20260714154459708_p053_x3456_y1536.jpg,0,0,0,0.05350034200000664,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p058_x1152_y1920.jpg,0,0,0,0.05497085000001789,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p059_x1536_y1920.jpg,0,0,0,0.057242879000114044,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p060_x1920_y1920.jpg,1,137,154,0.06176001999983782,125,29,12,261978,0.8116883116883117,0.9124087591240876,0.9998893159343071,0.7530120481927711,0.8591065292096219,0.9998435974121094
Image_20260714154459708_p061_x2304_y1920.jpg,2,137,169,0.06601984799999627,131,38,6,261969,0.7751479289940828,0.9562043795620438,0.9998549657070231,0.7485714285714286,0.8562091503267973,0.9998321533203125
Image_20260714154459708_p064_x3456_y1920.jpg,0,0,0,0.06081962600001134,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p066_x0000_y2304.jpg,0,0,0,0.06420426500017129,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p071_x1920_y2304.jpg,0,0,0,0.06931902099995568,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p076_x3584_y2304.jpg,0,0,0,0.06162376999986918,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714154459708_p084_x2688_y2560.jpg,0,0,0,0.05361984800015307,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714162350825_p004_x1536_y0000.jpg,0,0,0,0.051408367000021826,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714162350825_p013_x0768_y0384.jpg,0,0,0,0.05505823899989082,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714162350825_p020_x3456_y0384.jpg,0,0,0,0.054685274999883404,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714162350825_p026_x1536_y0768.jpg,5,220,975,0.05984721200002241,220,755,0,261169,0.22564102564102564,1.0,0.9971174844611413,0.22564102564102564,0.3682008368200837,0.9971199035644531
Image_20260714162350825_p027_x1920_y0768.jpg,2,1055,2025,0.0547380160001012,1041,984,14,260105,0.5140740740740741,0.9867298578199052,0.9962311702139883,0.510544384502207,0.675974025974026,0.9961929321289062
